Sample in Buffer,Sample in Window,TRIGGER,dut/u_custom_icb_mig/u_custom_icb_mig/app_wr_req,dut/u_custom_icb_mig/u_custom_icb_mig/app_rd_req,dut/u_custom_icb_mig/u_custom_icb_mig/mem_rw_addr_1[1:0],dut/u_custom_icb_mig/u_custom_icb_mig/app_addr_offset_1[3:2],dut/u_custom_icb_mig/u_custom_icb_mig/mem_rw_addr[27:4],dut/u_custom_icb_mig/u_custom_icb_mig/r_app_addr[27:0],dut/u_custom_icb_mig/u_custom_icb_mig/r_app_wr_mask[15:0],dut/u_custom_icb_mig/u_custom_icb_mig/mem_wr_mask_i[15:0],dut/u_custom_icb_mig/u_custom_icb_mig/app_addr_offset[27:0],dut/u_custom_icb_mig/u_custom_icb_mig/r_app_wr_data[127:0],dut/u_custom_icb_mig/u_custom_icb_mig/app_rd_data[127:0],dut/u_custom_icb_mig/u_custom_icb_mig/r_app_rd_data_1[127:0],dut/u_custom_icb_mig/u_custom_icb_mig/mem_wr_data_i[31:0],dut/u_custom_icb_mig/u_custom_icb_mig/mem_rd_done,dut/u_custom_icb_mig/u_custom_icb_mig/mem_wr_done,dut/u_custom_icb_mig/u_custom_icb_mig/r_app_addr_offset[27:0],dut/u_custom_icb_mig/u_custom_icb_mig/r_app_rd_data[127:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
69,69,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
70,70,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
71,71,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
72,72,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
73,73,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
74,74,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
75,75,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
76,76,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
77,77,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
78,78,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
79,79,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
80,80,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
81,81,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
82,82,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
83,83,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
84,84,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
85,85,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
86,86,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
87,87,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
88,88,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
89,89,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
90,90,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
91,91,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
92,92,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
93,93,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
94,94,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
95,95,0,0,0,0,0,000000,0000000,0000,0000,0000000,00000000000000000000000000000000,01010101fefefefe01010101fefe6160,000000000f0e0d0c0000000000060504,00000000,0,0,0000000,000000000f0e0d0c0000000000060504
